"","TagID","dtf","Lat","Lon","rkm","General.Location","ReleaseGroup"
"1107","2F54","3/8/2017 6:05","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1108","2F54","3/8/2017 6:06","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1109","2F54","3/8/2017 6:06","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1110","2F54","3/8/2017 6:06","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1111","2F54","3/8/2017 6:06","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1459","2ED6","3/10/2017 2:07","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1460","2ED6","3/10/2017 2:08","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1461","2ED6","3/10/2017 2:08","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1462","2ED6","3/10/2017 2:08","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1463","2ED6","3/10/2017 2:08","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1464","2ED6","3/10/2017 2:08","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1465","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1466","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1467","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1468","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1469","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1470","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"1471","2ED6","3/10/2017 2:09","37.18","-120.65","305.34","ESB_Sandy Mush","2017_SJ_SIRF1"
"68688","3.40E+10","3/23/2017 20:57","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
"68691","3.40E+10","3/23/2017 20:57","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
"68701","3.40E+10","3/23/2017 20:57","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
"68706","3.40E+10","3/23/2017 20:57","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
"68711","3.40E+10","3/23/2017 20:57","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
"68717","3.40E+10","3/23/2017 20:58","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
"68728","3.40E+10","3/23/2017 20:58","37.69","-121.27","181.72","Durhamferry","2017_SJ_SIRF2"
